player_name,season,games,minutes,per,ts_pct,usg_pct,bpm,vorp
Marvin Williams,2015,78.0,2035.0,11.8,0.541,13.3,0.0,1.0
Brandon Knight,2015,63.0,2035.0,17.1,0.543,25.9,1.6,1.9
Brandon Knight,2015,52.0,1688.0,18.5,0.556,26.6,2.5,1.9
Brandon Knight,2015,11.0,347.0,10.5,0.472,22.6,-2.9,-0.1
Kawhi Leonard,2015,64.0,2033.0,22.0,0.567,23.0,5.9,4.1
Wesley Matthews,2015,60.0,2024.0,16.1,0.586,19.8,3.1,2.6
Eric Gordon,2015,61.0,2018.0,12.7,0.544,19.8,-1.0,0.5
Rajon Rondo,2015,68.0,2018.0,13.5,0.448,19.5,-0.8,0.6
Rajon Rondo,2015,22.0,699.0,15.4,0.422,18.2,0.4,0.4
Rajon Rondo,2015,46.0,1319.0,12.4,0.46,20.3,-1.5,0.2
Lou Williams,2015,80.0,2016.0,19.9,0.564,27.0,2.6,2.3
DeMarcus Cousins,2015,59.0,2013.0,25.2,0.545,34.1,4.3,3.2
Al Jefferson,2015,65.0,1992.0,19.7,0.5,26.3,1.6,1.8
Greivis Vásquez,2015,82.0,1991.0,12.6,0.514,19.8,-1.0,0.5
Jason Thompson,2015,81.0,1991.0,10.2,0.5,12.7,-2.8,-0.4
Boris Diaw,2015,81.0,1984.0,12.7,0.526,18.3,-0.4,0.8
Ömer Aşık,2015,76.0,1982.0,15.5,0.545,14.0,-1.2,0.4
Mo Williams,2015,68.0,1980.0,15.4,0.512,25.2,-0.8,0.6
Mo Williams,2015,41.0,1149.0,14.4,0.511,22.7,-2.2,-0.1
Mo Williams,2015,27.0,831.0,16.9,0.512,28.8,1.1,0.6
Amir Johnson,2015,75.0,1979.0,15.4,0.603,15.7,-0.1,0.9
Dwyane Wade,2015,62.0,1971.0,21.4,0.534,34.7,2.1,2.1
D.J. Augustin,2015,82.0,1964.0,13.9,0.527,19.8,-1.2,0.4
D.J. Augustin,2015,54.0,1287.0,15.8,0.536,22.2,-0.5,0.5
D.J. Augustin,2015,28.0,677.0,10.2,0.503,15.1,-2.3,-0.1
Robert Covington,2015,70.0,1956.0,14.7,0.554,21.8,0.7,1.3
Tony Parker,2015,68.0,1953.0,15.9,0.539,24.5,-1.3,0.3
Brandon Bass,2015,82.0,1929.0,16.3,0.557,19.5,0.0,1.0
Roy Hibbert,2015,76.0,1926.0,15.4,0.501,21.3,-1.2,0.4
Luc Mbah a Moute,2015,67.0,1916.0,10.6,0.466,18.3,-2.8,-0.4
Paul Pierce,2015,73.0,1914.0,15.2,0.58,19.9,1.5,1.7
Jeremy Lin,2015,74.0,1907.0,15.6,0.539,21.9,-0.4,0.8
Zach LaVine,2015,77.0,1902.0,11.3,0.515,22.0,-4.6,-1.3
David West,2015,66.0,1895.0,16.0,0.508,21.0,1.6,1.7
Aaron Brooks,2015,82.0,1885.0,14.4,0.534,25.0,-0.8,0.5
Rodney Stuckey,2015,71.0,1874.0,15.4,0.528,23.4,0.3,1.1
Jordan Hill,2015,70.0,1874.0,16.2,0.494,22.7,-2.2,-0.1
Channing Frye,2015,75.0,1870.0,9.5,0.546,14.1,-1.5,0.2
Shane Larkin,2015,76.0,1865.0,10.9,0.504,13.6,-2.8,-0.4
Bojan Bogdanović,2015,78.0,1854.0,11.6,0.562,17.2,-1.7,0.1
C.J. Miles,2015,70.0,1841.0,14.1,0.525,23.9,0.9,1.3
Ed Davis,2015,79.0,1840.0,20.0,0.594,14.8,1.5,1.6
Mike Dunleavy,2015,63.0,1838.0,11.6,0.573,14.2,0.0,0.9
Norris Cole,2015,75.0,1831.0,10.9,0.483,17.5,-2.8,-0.4
Norris Cole,2015,47.0,1148.0,9.9,0.452,15.7,-3.0,-0.3
Norris Cole,2015,28.0,683.0,12.6,0.52,20.6,-2.4,0.0
Danté Exum,2015,82.0,1817.0,5.7,0.457,13.8,-4.3,-1.1
Marcus Smart,2015,67.0,1808.0,11.0,0.491,15.1,-0.5,0.7
Anthony Morrow,2015,74.0,1806.0,14.8,0.604,16.5,1.8,1.7
Quincy Pondexter,2015,75.0,1793.0,9.9,0.55,13.8,-2.1,0.0
Quincy Pondexter,2015,30.0,540.0,7.1,0.452,13.4,-3.9,-0.3
Quincy Pondexter,2015,45.0,1253.0,11.1,0.592,13.9,-1.3,0.2
Jason Smith,2015,82.0,1785.0,12.0,0.497,19.7,-3.8,-0.8
Hollis Thompson,2015,71.0,1776.0,10.9,0.538,15.9,-1.8,0.1
Steven Adams,2015,70.0,1771.0,14.1,0.549,14.3,-1.3,0.3
Alan Anderson,2015,74.0,1744.0,10.6,0.563,14.2,-1.5,0.2
Mason Plumlee,2015,82.0,1743.0,18.0,0.57,19.2,0.1,0.9
Kyle Singler,2015,80.0,1743.0,8.5,0.512,13.2,-2.1,0.0
Kyle Singler,2015,54.0,1287.0,9.4,0.526,14.0,-1.7,0.1
Kyle Singler,2015,26.0,456.0,5.8,0.461,11.0,-3.2,-0.1
Tyler Zeller,2015,82.0,1731.0,18.9,0.594,19.6,0.9,1.3
Zaza Pachulia,2015,73.0,1730.0,15.6,0.506,19.1,0.4,1.0
Patrick Beverley,2015,56.0,1727.0,11.3,0.509,16.1,0.1,0.9
Isaiah Thomas,2015,67.0,1726.0,20.6,0.579,27.8,3.2,2.3
Isaiah Thomas,2015,46.0,1181.0,19.7,0.579,25.8,2.5,1.4
Isaiah Thomas,2015,21.0,545.0,22.3,0.579,32.1,4.6,0.9
Jerryd Bayless,2015,77.0,1717.0,11.1,0.519,18.6,-2.1,0.0
Jared Dudley,2015,72.0,1717.0,12.3,0.572,13.5,0.6,1.1
Jamal Crawford,2015,64.0,1703.0,16.6,0.532,27.6,0.7,1.2
O.J. Mayo,2015,71.0,1697.0,13.5,0.529,23.6,-0.6,0.6
Nenê,2015,67.0,1693.0,14.3,0.534,21.8,-0.8,0.5
Carlos Boozer,2015,71.0,1692.0,16.4,0.517,23.7,-1.7,0.1
Taj Gibson,2015,62.0,1692.0,16.1,0.545,17.6,-0.4,0.7
Devin Harris,2015,76.0,1685.0,14.8,0.559,18.0,1.4,1.4
Tim Hardaway Jr.,2015,70.0,1681.0,12.1,0.512,23.8,-2.8,-0.3
Wayne Ellington,2015,65.0,1675.0,11.6,0.504,18.5,-2.3,-0.1
Ryan Anderson,2015,61.0,1675.0,15.6,0.524,23.4,-0.3,0.7
Joe Ingles,2015,79.0,1673.0,9.6,0.533,12.9,-1.2,0.3
Evan Fournier,2015,58.0,1661.0,12.4,0.546,19.7,-1.8,0.1
Luis Scola,2015,81.0,1659.0,16.8,0.515,22.8,-0.3,0.7
Nikola Mirotić,2015,82.0,1654.0,17.9,0.556,22.8,2.3,1.8
Dante Cunningham,2015,66.0,1652.0,8.9,0.473,10.9,-2.5,-0.2
Tony Allen,2015,63.0,1648.0,14.6,0.528,16.6,1.6,1.5
Jae Crowder,2015,82.0,1647.0,13.9,0.517,17.5,0.5,1.0
Jae Crowder,2015,25.0,265.0,12.7,0.55,15.3,-0.1,0.1
Jae Crowder,2015,57.0,1382.0,14.1,0.512,17.9,0.6,0.9
Jason Terry,2015,77.0,1641.0,11.4,0.579,14.3,0.5,1.0
Robin Lopez,2015,59.0,1638.0,16.2,0.574,15.5,0.1,0.9
Caron Butler,2015,78.0,1623.0,9.3,0.544,12.9,-1.7,0.1
Kirk Hinrich,2015,66.0,1610.0,6.8,0.468,13.3,-3.8,-0.7
Manu Ginóbili,2015,70.0,1587.0,16.2,0.544,23.9,1.7,1.5
Michael Kidd-Gilchrist,2015,55.0,1587.0,15.1,0.519,18.4,-0.5,0.6
Andrew Bogut,2015,67.0,1583.0,15.8,0.565,13.2,2.4,1.8
Lance Stephenson,2015,61.0,1573.0,8.8,0.419,21.1,-4.5,-1.0
Jared Sullinger,2015,58.0,1566.0,17.9,0.503,23.6,1.1,1.2
Darren Collison,2015,45.0,1565.0,17.5,0.575,20.9,2.1,1.6
Trevor Booker,2015,79.0,1564.0,15.3,0.536,18.1,-0.2,0.7
Austin Rivers,2015,76.0,1563.0,10.3,0.481,17.9,-2.8,-0.3
Austin Rivers,2015,35.0,772.0,10.1,0.472,16.7,-3.0,-0.2
Austin Rivers,2015,41.0,791.0,10.6,0.488,19.0,-2.7,-0.1
Chris Bosh,2015,44.0,1556.0,19.8,0.548,28.4,1.3,1.3
Iman Shumpert,2015,62.0,1545.0,11.4,0.497,17.4,-0.9,0.4
Iman Shumpert,2015,24.0,625.0,11.9,0.484,20.1,-2.0,0.0
Iman Shumpert,2015,38.0,920.0,11.1,0.508,15.6,-0.1,0.4
Derrick Rose,2015,51.0,1530.0,15.9,0.493,31.7,-0.6,0.6
Steve Blake,2015,81.0,1529.0,9.5,0.507,13.2,-1.8,0.1
Alex Len,2015,69.0,1518.0,13.5,0.542,13.7,-1.8,0.1
Dennis Schröder,2015,77.0,1516.0,15.7,0.516,27.0,-1.3,0.2
Rasual Butler,2015,75.0,1505.0,11.4,0.531,17.9,-0.8,0.4
Beno Udrih,2015,79.0,1494.0,15.4,0.55,19.6,0.5,0.9
Lance Thomas,2015,62.0,1490.0,8.0,0.456,17.0,-5.6,-1.3
Lance Thomas,2015,22.0,450.0,6.6,0.402,15.1,-4.7,-0.3
Lance Thomas,2015,40.0,1040.0,8.6,0.478,17.8,-5.9,-1.0
Cody Zeller,2015,62.0,1487.0,14.1,0.53,15.6,-0.6,0.5
Jordan Clarkson,2015,59.0,1476.0,16.9,0.528,23.0,0.2,0.8
Shaun Livingston,2015,78.0,1468.0,12.9,0.529,15.9,-0.8,0.4
Derrick Williams,2015,74.0,1462.0,12.8,0.54,18.9,-2.0,0.0
Jodie Meeks,2015,60.0,1462.0,14.1,0.548,20.1,-0.5,0.5
Langston Galloway,2015,45.0,1457.0,12.3,0.489,19.2,-2.3,-0.1
Brandan Wright,2015,75.0,1449.0,20.4,0.66,13.6,3.7,2.1
