draft_year,pick,player_name,ws,vorp
2019,44,Bol Bol,5.0,1.1
2019,45,Isaiah Roby,4.0,-0.2
2019,46,Talen Horton-Tucker,6.0,0.0
2019,47,Ignas Brazdeikis,0.4,-0.6
2019,48,Terance Mann,23.3,2.2
2019,49,Quinndary Weatherspoon,0.2,-0.2
2019,50,Jarrell Brantley,0.6,0.1
2019,51,Tremont Waters,0.1,-0.1
2019,52,Jalen McDaniels,5.3,-1.5
2019,53,Justin Wright-Foreman,0.0,-0.1
2019,54,Marial Shayok,-0.1,-0.1
2019,55,Kyle Guy,0.1,-0.3
2019,56,Jaylen Hands,nan,nan
2019,57,Jordan Bone,0.1,-0.2
2019,58,Miye Oni,1.0,-0.1
2019,59,Dewan Hernandez,0.0,-0.1
2019,60,Vanja MarinkoviÄ,nan,nan
2020,1,Anthony Edwards,31.4,15.8
2020,2,James Wiseman,4.3,-1.5
2020,3,LaMelo Ball,19.8,12.5
2020,4,Patrick Williams,8.3,-1.4
2020,5,Isaac Okoro,18.2,-0.8
2020,6,Onyeka Okongwu,30.9,6.0
2020,7,Killian Hayes,-0.4,-3.0
2020,8,Obi Toppin,17.7,5.4
2020,9,Deni Avdija,21.7,6.0
2020,10,Jalen Smith,14.6,2.4
2020,11,Devin Vassell,16.8,4.4
2020,12,Tyrese Haliburton,37.6,18.9
2020,13,Kira Lewis Jr.,1.3,-0.6
2020,14,Aaron Nesmith,11.2,-0.2
2020,15,Cole Anthony,10.5,2.5
2020,16,Isaiah Stewart,19.5,1.2
2020,17,Aleksej Pokusevski,-0.2,-1.0
2020,18,Josh Green,11.1,-1.2
2020,19,Saddiq Bey,20.0,4.3
2020,20,Precious Achiuwa,14.8,-0.3
2020,21,Tyrese Maxey,35.1,13.5
2020,22,Zeke Nnaji,7.5,-0.7
2020,23,Leandro Bolmaro,-0.3,-0.5
2020,24,R.J. Hampton,0.8,-1.4
2020,25,Immanuel Quickley,27.9,9.2
2020,26,Payton Pritchard,29.4,8.5
2020,27,Udoka Azubuike,2.0,0.1
2020,28,Jaden McDaniels,23.1,1.5
2020,29,Malachi Flynn,2.9,-0.5
2020,30,Desmond Bane,33.0,12.7
2020,nan,Round 2,Advanced,Advanced
2020,31,Tyrell Terry,0.0,0.0
2020,32,Vernon Carey Jr.,0.2,-0.2
2020,33,Daniel Oturu,0.3,-0.2
2020,34,ThÃ©o Maledon,-0.2,-2.4
2020,35,Xavier Tillman Sr.,10.3,2.0
2020,36,Tyler Bey,0.0,-0.1
2020,37,VÃ­t KrejÄÃ­,6.9,0.1
2020,38,Saben Lee,3.5,0.3
2020,39,Elijah Hughes,-0.4,-0.5
2020,40,Robert Woodard II,-0.1,-0.1
2020,41,Tre Jones,20.3,4.0
2020,42,Nick Richards,13.9,-1.2
2020,43,Jahmi'us Ramsey,-0.1,-0.3
2020,44,Marko Simonovic,0.0,-0.1
2020,45,Jordan Nwora,3.0,-0.7
2020,46,CJ Elleby,0.5,-1.1
2020,47,Yam Madar,nan,nan
2020,48,Nico Mannion,0.2,-0.2
2020,49,Isaiah Joe,19.0,4.6
2020,50,Skylar Mays,2.1,0.4
2020,51,Justinian Jessup,nan,nan
2020,52,KJ Martin,12.4,0.4
2020,53,Cassius Winston,0.1,-0.1
2020,54,Cassius Stanley,0.0,-0.4
2020,55,Jay Scrubb,-0.1,-0.3
2020,56,Grant Riller,0.1,0.0
2020,57,Reggie Perry,0.4,-0.3
2020,58,Paul Reed,15.9,3.9
2020,59,Jalen Harris,0.3,0.1
2020,60,Sam Merrill,10.5,2.3
2021,1,Cade Cunningham,14.9,9.8
2021,2,Jalen Green,11.0,2.4
2021,3,Evan Mobley,34.8,12.1
2021,4,Scottie Barnes,27.2,13.1
2021,5,Jalen Suggs,8.3,3.1
2021,6,Josh Giddey,17.2,8.8
2021,7,Jonathan Kuminga,13.0,1.5
2021,8,Franz Wagner,24.2,7.7
2021,9,Davion Mitchell,10.3,-1.3
2021,10,Ziaire Williams,6.2,-1.5
2021,11,James Bouknight,-0.3,-0.9
2021,12,Joshua Primo,-0.2,-0.9
2021,13,Chris Duarte,1.9,-0.8
2021,14,Moses Moody,11.6,1.5
2021,15,Corey Kispert,11.1,-0.6
2021,16,Alperen ÅengÃ¼n,30.5,13.4
2021,17,Trey Murphy III,24.4,8.3
2021,18,Tre Mann,1.9,-1.8
2021,19,Kai Jones,2.8,0.2
2021,20,Jalen Johnson,15.9,7.2
2021,21,Keon Johnson,-0.3,-1.7
2021,22,Isaiah Jackson,10.3,1.3
2021,23,Usman Garuba,2.3,0.2
2021,24,Josh Christopher,0.2,-1.1
2021,25,Quentin Grimes,14.4,2.7
2021,26,Bones Hyland,7.4,2.0
2021,27,Cam Thomas,5.0,-0.4
2021,28,Jaden Springer,1.4,-0.2
2021,29,Day'Ron Sharpe,11.9,2.0
2021,30,Santi Aldama,14.5,4.7
2021,nan,Round 2,Advanced,Advanced
2021,31,Isaiah Todd,-0.3,-0.3
2021,32,Jeremiah Robinson-Earl,5.9,-0.4
2021,33,Jason Preston,0.1,0.0
2021,34,Rokas Jokubaitis,nan,nan
2021,35,Herbert Jones,16.4,2.6
2021,36,Miles McBride,10.5,2.0
2021,37,JT Thor,1.2,-1.5
2021,38,Ayo Dosunmu,17.5,2.0
2021,39,Neemias Queta,14.2,2.8
2021,40,Jared Butler,2.5,0.3
2021,41,Joe Wieskamp,0.1,-0.2
2021,42,Isaiah Livers,2.0,-0.7
2021,43,Greg Brown III,0.2,-0.6
2021,44,Kessler Edwards,2.7,-0.5
2021,45,Juhann Begarin,nan,nan
2021,46,Dalano Banton,2.0,0.4
2021,47,David Johnson,0.0,0.0
2021,48,Sharife Cooper,0.4,-0.5
2021,49,Marcus Zegarowski,nan,nan
2021,50,Filip PetruÅ¡ev,0.0,0.0
2021,51,Brandon Boston Jr.,1.0,-1.0
2021,52,Luka Garza,8.2,1.3
2021,53,Charles Bassey,4.5,0.9
2021,54,Sandro Mamukelashvili,11.4,3.2
2021,55,Aaron Wiggins,15.0,1.9
2021,56,Scottie Lewis,0.0,0.0
2021,57,BalÅ¡a Koprivica,nan,nan
2021,58,Jericho Sims,10.1,-0.1
2021,59,RaiQuan Gray,0.2,0.1
2021,60,Georgios Kalaitzakis,-0.1,-0.3
2022,1,Paolo Banchero,16.1,7.1
2022,2,Chet Holmgren,21.2,7.4
2022,3,Jabari Smith Jr.,18.3,1.4
2022,4,Keegan Murray,14.1,1.6
2022,5,Jaden Ivey,2.9,-0.6
2022,6,Bennedict Mathurin,8.3,-2.2
2022,7,Shaedon Sharpe,5.9,-0.2
2022,8,Dyson Daniels,15.8,5.3
2022,9,Jeremy Sochan,5.4,-1.1
2022,10,Johnny Davis,-0.4,-1.3
2022,11,Ousmane Dieng,2.0,-0.7
2022,12,Jalen Williams,23.8,8.2
2022,13,Jalen Duren,29.5,7.5
2022,14,Ochai Agbaji,5.5,-1.3
2022,15,Mark Williams,16.0,3.8
2022,16,AJ Griffin,1.8,0.1
2022,17,Tari Eason,11.8,2.8
2022,18,Dalen Terry,3.1,-0.3
2022,19,Jake LaRavia,8.2,0.9
2022,20,Malaki Branham,0.1,-2.9
2022,21,Christian Braun,16.4,1.8
