player_key,player_name,draft_year,pick,ws,vorp
jordan bell,Jordan Bell,2017,38,4.9,1.1
jawun evans,Jawun Evans,2017,39,-0.4,-0.7
dwayne bacon,Dwayne Bacon,2017,40,0.8,-3.1
tyler dorsey,Tyler Dorsey,2017,41,1.1,-0.5
thomas bryant,Thomas Bryant,2017,42,22.7,4.9
isaiah hartenstein,Isaiah Hartenstein,2017,43,33.3,9.4
damyean dotson,Damyean Dotson,2017,44,3.0,-0.9
dillon brooks,Dillon Brooks,2017,45,16.8,-5.2
sterling brown,Sterling Brown,2017,46,6.6,-0.1
ike anigbogu,Ike Anigbogu,2017,47,0.0,0.0
sindarius thornwell,Sindarius Thornwell,2017,48,1.1,-0.5
vlatko cancar,Vlatko Čančar,2017,49,2.4,-0.2
mathias lessort,Mathias Lessort,2017,50,0.0,0.0
monte morris,Monte Morris,2017,51,24.7,5.6
edmond sumner,Edmond Sumner,2017,52,3.2,-0.6
kadeem allen,Kadeem Allen,2017,53,1.0,0.1
alec peters,Alec Peters,2017,54,0.3,0.0
nigel williams goss,Nigel Williams-Goss,2017,55,0.0,0.0
jabari bird,Jabari Bird,2017,56,0.2,0.0
sasha vezenkov,Sasha Vezenkov,2017,57,1.0,0.1
ognjen jaramaz,Ognjen Jaramaz,2017,58,0.0,0.0
jaron blossomgame,Jaron Blossomgame,2017,59,0.3,-0.2
alpha kaba,Alpha Kaba,2017,60,0.0,0.0
deandre ayton,Deandre Ayton,2018,1,43.8,9.2
marvin bagley,Marvin Bagley III,2018,2,16.3,1.5
luka doncic,Luka Dončić,2018,3,66.6,44.8
jaren jackson,Jaren Jackson Jr.,2018,4,30.2,9.2
trae young,Trae Young,2018,5,44.7,19.7
mo bamba,Mo Bamba,2018,6,15.7,3.0
wendell carter,Wendell Carter Jr.,2018,7,33.3,5.3
collin sexton,Collin Sexton,2018,8,19.7,3.0
kevin knox,Kevin Knox,2018,9,0.9,-3.4
mikal bridges,Mikal Bridges,2018,10,50.0,15.8
shai gilgeous alexander,Shai Gilgeous-Alexander,2018,11,75.6,36.9
miles bridges,Miles Bridges,2018,12,27.8,8.2
jerome robinson,Jerome Robinson,2018,13,-0.2,-1.2
michael porter,Michael Porter Jr.,2018,14,29.4,8.9
troy brown,Troy Brown Jr.,2018,15,8.6,0.4
zhaire smith,Zhaire Smith,2018,16,0.0,-0.1
donte divincenzo,Donte DiVincenzo,2018,17,29.1,10.1
lonnie walker,Lonnie Walker IV,2018,18,4.9,-1.0
kevin huerter,Kevin Huerter,2018,19,21.7,4.1
josh okogie,Josh Okogie,2018,20,14.2,0.6
grayson allen,Grayson Allen,2018,21,26.4,6.6
chandler hutchison,Chandler Hutchison,2018,22,1.1,-0.9
aaron holiday,Aaron Holiday,2018,23,11.6,0.1
anfernee simons,Anfernee Simons,2018,24,15.7,2.9
moritz wagner,Moritz Wagner,2018,25,17.9,3.4
landry shamet,Landry Shamet,2018,26,15.7,0.4
robert williams,Robert Williams,2018,27,28.3,9.6
jacob evans,Jacob Evans,2018,28,-0.6,-0.8
dzanan musa,Džanan Musa,2018,29,0.0,-0.4
omari spellman,Omari Spellman,2018,30,2.4,0.2
elie okobo,Elie Okobo,2018,31,0.5,-0.9
jevon carter,Jevon Carter,2018,32,9.4,1.0
jalen brunson,Jalen Brunson,2018,33,54.2,18.8
devonte graham,Devonte' Graham,2018,34,12.7,3.2
melvin frazier,Melvin Frazier,2018,35,-0.4,-0.6
mitchell robinson,Mitchell Robinson,2018,36,41.0,10.1
gary trent,Gary Trent Jr.,2018,37,19.0,1.4
khyri thomas,Khyri Thomas,2018,38,0.5,-0.1
isaac bonga,Isaac Bonga,2018,39,1.7,-0.7
rodions kurucs,Rodions Kurucs,2018,40,2.3,-0.4
jarred vanderbilt,Jarred Vanderbilt,2018,41,18.6,3.3
bruce brown,Bruce Brown,2018,42,22.9,1.3
justin jackson,Justin Jackson,2018,43,0.0,0.0
issuf sanon,Issuf Sanon,2018,44,0.0,0.0
hamidou diallo,Hamidou Diallo,2018,45,6.2,-0.1
de anthony melton,De'Anthony Melton,2018,46,15.0,5.2
svi mykhailiuk,Svi Mykhailiuk,2018,47,5.3,-0.6
keita bates diop,Keita Bates-Diop,2018,48,7.4,0.5
chimezie metu,Chimezie Metu,2018,49,5.7,0.3
alize johnson,Alize Johnson,2018,50,1.3,-0.1
tony carr,Tony Carr,2018,51,0.0,0.0
vince edwards,Vince Edwards,2018,52,0.0,0.0
devon hall,Devon Hall,2018,53,-0.2,-0.1
shake milton,Shake Milton,2018,54,11.7,-0.1
arnoldas kulboka,Arnoldas Kulboka,2018,55,0.0,0.0
ray spalding,Ray Spalding,2018,56,0.1,-0.2
kevin hervey,Kevin Hervey,2018,57,-0.1,0.0
thomas welsh,Thomas Welsh,2018,58,0.1,0.0
george king,George King,2018,59,-0.1,-0.1
kostas antetokounmpo,Kostas Antetokounmpo,2018,60,-0.2,-0.2
zion williamson,Zion Williamson,2019,1,30.3,14.1
ja morant,Ja Morant,2019,2,24.3,11.8
rj barrett,RJ Barrett,2019,3,17.3,1.8
de andre hunter,De'Andre Hunter,2019,4,13.1,-2.0
darius garland,Darius Garland,2019,5,27.1,7.9
jarrett culver,Jarrett Culver,2019,6,-0.1,-1.6
coby white,Coby White,2019,7,19.9,1.7
jaxson hayes,Jaxson Hayes,2019,8,25.1,3.5
rui hachimura,Rui Hachimura,2019,9,18.7,0.1
cam reddish,Cam Reddish,2019,10,3.3,-1.7
cameron johnson,Cameron Johnson,2019,11,26.6,8.8
p j washington,P.J. Washington,2019,12,16.5,2.6
tyler herro,Tyler Herro,2019,13,22.3,9.0
romeo langford,Romeo Langford,2019,14,2.0,-0.8
sekou doumbouya,Sekou Doumbouya,2019,15,-0.4,-1.8
chuma okeke,Chuma Okeke,2019,16,5.0,1.0
nickeil alexander walker,Nickeil Alexander-Walker,2019,17,16.5,3.7
goga bitadze,Goga Bitadze,2019,18,19.3,4.4
luka samanic,Luka Šamanić,2019,19,0.0,-0.8
matisse thybulle,Matisse Thybulle,2019,20,15.4,6.1
brandon clarke,Brandon Clarke,2019,21,24.6,7.1
grant williams,Grant Williams,2019,22,17.4,1.0
darius bazley,Darius Bazley,2019,23,3.1,-0.6
ty jerome,Ty Jerome,2019,24,11.2,3.3
nassir little,Nassir Little,2019,25,4.7,-0.5
dylan windler,Dylan Windler,2019,26,1.6,0.2
mfiondu kabengele,Mfiondu Kabengele,2019,27,0.4,-0.2
jordan poole,Jordan Poole,2019,28,11.4,0.4
keldon johnson,Keldon Johnson,2019,29,23.2,3.2
kevin porter,Kevin Porter Jr.,2019,30,9.0,2.5
nic claxton,Nic Claxton,2019,31,30.9,8.2
kz okpala,KZ Okpala,2019,32,1.0,-0.7
carsen edwards,Carsen Edwards,2019,33,0.3,-0.5
bruno fernando,Bruno Fernando,2019,34,3.8,-0.6
didi louzada,Didi Louzada,2019,35,-0.1,-0.3
cody martin,Cody Martin,2019,36,7.1,0.3
deividas sirvydis,Deividas Sirvydis,2019,37,-0.1,-0.2
daniel gafford,Daniel Gafford,2019,38,35.2,8.2
alen smailagic,Alen Smailagić,2019,39,0.3,-0.1
justin james,Justin James,2019,40,0.3,-0.2
eric paschall,Eric Paschall,2019,41,5.0,-0.1
admiral schofield,Admiral Schofield,2019,42,1.2,-0.9
jaylen nowell,Jaylen Nowell,2019,43,4.7,-0.1
bol bol,Bol Bol,2019,44,5.0,1.1
isaiah roby,Isaiah Roby,2019,45,4.0,-0.2
talen horton tucker,Talen Horton-Tucker,2019,46,6.0,0.0
ignas brazdeikis,Ignas Brazdeikis,2019,47,0.4,-0.6
terance mann,Terance Mann,2019,48,23.3,2.2
quinndary weatherspoon,Quinndary Weatherspoon,2019,49,0.2,-0.2
jarrell brantley,Jarrell Brantley,2019,50,0.6,0.1
tremont waters,Tremont Waters,2019,51,0.1,-0.1
jalen mcdaniels,Jalen McDaniels,2019,52,5.3,-1.5
justin wright foreman,Justin Wright-Foreman,2019,53,0.0,-0.1
marial shayok,Marial Shayok,2019,54,-0.1,-0.1
kyle guy,Kyle Guy,2019,55,0.1,-0.3
jaylen hands,Jaylen Hands,2019,56,0.0,0.0
jordan bone,Jordan Bone,2019,57,0.1,-0.2
miye oni,Miye Oni,2019,58,1.0,-0.1
dewan hernandez,Dewan Hernandez,2019,59,0.0,-0.1
vanja marinkovic,Vanja Marinković,2019,60,0.0,0.0
anthony edwards,Anthony Edwards,2020,1,31.4,15.8
james wiseman,James Wiseman,2020,2,4.3,-1.5
lamelo ball,LaMelo Ball,2020,3,19.8,12.5
patrick williams,Patrick Williams,2020,4,8.3,-1.4
isaac okoro,Isaac Okoro,2020,5,18.2,-0.8
onyeka okongwu,Onyeka Okongwu,2020,6,30.9,6.0
killian hayes,Killian Hayes,2020,7,-0.4,-3.0
obi toppin,Obi Toppin,2020,8,17.7,5.4
deni avdija,Deni Avdija,2020,9,21.7,6.0
jalen smith,Jalen Smith,2020,10,14.6,2.4
devin vassell,Devin Vassell,2020,11,16.8,4.4
tyrese haliburton,Tyrese Haliburton,2020,12,37.6,18.9
kira lewis,Kira Lewis Jr.,2020,13,1.3,-0.6
aaron nesmith,Aaron Nesmith,2020,14,11.2,-0.2
cole anthony,Cole Anthony,2020,15,10.5,2.5
isaiah stewart,Isaiah Stewart,2020,16,19.5,1.2
